id_servicio,descripcion,tipo,precioUnitario,cantidad,totalServicio
51,ensamble vestido,2,860.00,25,21500.00
52,costura correa mochila,3,450.25,60,27015.00
53,cierre pantalon,1,600.00,4,2400.00
54,boton camisa,2,145.00,120,17400.00
55,forro piloto,3,324.66,156,50646.96
56,vicera,3,450.00,180,81000.00
57,costura remera,3,650.00,60,39000.00
58,ensamble bolso,3,450.25,80,36020.00
59,cambio cierre,1,700.00,2,1400.00
63,boton camisa,2,145.00,120,17400.00
64,ensamble bolso,3,450.25,50,22512.50
65,cambio cierre,1,700.00,2,1400.00
66,forro campera,3,365.60,150,54840.00
68,vicera,3,450.00,160,72000.00
70,cierre pantalon,1,600.00,2,1200.00
71,ensamble bolso,3,450.25,40,18010.00
72,boton camisa,2,145.00,60,8700.00
73,cambio boton,2,70.00,25,1750.00
74,ensamble vestido,2,860.00,15,12900.00
